player,school,lat,lng
De'Andre Hunter,Virginia  ,38.0335529,-78.5079772
Trae Young,Oklahoma  ,35.2058936,-97.4457137
Vince Carter,North Carolina  ,35.9049122,-79.0469134
Cam Reddish,Duke  ,36.0014258,-78.9382286
Kevin Huerter,Maryland  ,38.9869183,-76.9425543
Bruno Fernando,Maryland  ,38.9869183,-76.9425543
Damian Jones,Vanderbilt  ,36.1447034,-86.8026551
DeAndre' Bembry,"	Saint Joseph's  ",39.9951217,-75.2399328
John Collins,Wake Forest  ,36.1355052,-80.2791958
Brandon Goodwin,Florida Gulf Coast ,26.4637116,-81.7752618
Jeff Teague,Wake Forest  ,36.1355052,-80.2791958
Treveon Graham,Va Commonwealth  ,37.5483122,-77.4526805
Dewayne Dedmon,USC  ,34.0223519,-118.285117
Jarrett Allen,Texas  ,30.2849185,-97.7340567
Joe Harris,Virginia  ,38.0335529,-78.5079772
Spencer Dinwiddie,Colorado  ,40.007581,-105.2659417
Taurean Prince,Baylor  ,31.5488923,-97.1130573
Garrett Temple,Louisiana State  ,30.4132579,-91.1800023
DeAndre Jordan,Texas A&M  ,30.6090918,-96.3337124
Caris LeVert,Michigan  ,42.2780436,-83.7382241
Wilson Chandler,DePaul  ,41.9247836,-87.6566548
Kyrie Irving,Duke  ,36.0014258,-78.9382286
Chris Chiozza,Florida ,29.6436325,-82.3549302
Nicolas Claxton,Georgia  ,33.9480053,-83.3773221
Justin Anderson,Virginia  ,38.0335529,-78.5079772
Jeremiah Martin,Memphis  ,35.1187498,-89.9374928
Tyler Johnson,Fresno State  ,36.8133631,-119.7460947
Lance Thomas,Duke  ,36.0014258,-78.9382286
Jamal Crawford,Michigan  ,42.2780436,-83.7382241
Kevin Durant,Texas  ,30.2849185,-97.7340567
Brad Wanamaker,Pittsburgh  ,40.4443533,-79.960835
Grant Williams,Tennessee  ,35.9544013,-83.9294564
Semi Ojeleye,Southern Methodist  ,32.8412178,-96.7845175
Jayson Tatum,Duke  ,36.0014258,-78.9382286
Marcus Smart,Oklahoma State  ,36.1270236,-97.0737222
Jaylen Brown,California  ,40.063294,-79.8824041
Kemba Walker,Connecticut  ,41.8077414,-72.2539805
Gordon Hayward,Butler  ,39.8405491,-86.1708927
Javonte Green,Radford  ,37.1395334,-80.5511003
Carsen Edwards,Purdue  ,40.4237054,-86.9211946
Romeo Langford,Indiana  ,39.1754487,-86.512627
Tremont Waters,Louisiana State  ,30.4132579,-91.1800023
Miles Bridges,Michigan State  ,42.701848,-84.4821719
Devonte' Graham,Kansas  ,38.9543439,-95.2557961
Terry Rozier,Louisville  ,38.2122761,-85.7585023
P.J. Washington,Kentucky  ,38.0306511,-84.5039697
Cody Zeller,Indiana  ,39.1754487,-86.512627
Malik Monk,Kentucky  ,38.0306511,-84.5039697
Cody Martin,Nevada-Reno  ,39.5453298,-119.8161541
Dwayne Bacon,Florida State  ,30.4418778,-84.2984889
Caleb Martin,Nevada ,39.5453298,-119.8161541
Jalen McDaniels,San Diego State  ,32.7759894,-117.0712533
Kobi Simmons,Arizona  ,32.2318851,-110.9501094
Coby White,North Carolina  ,35.9049122,-79.0469134
Thaddeus Young,Georgia Tech  ,33.7756178,-84.396285
Zach LaVine,UCLA  ,34.068921,-118.4451811
Ryan Arcidiacono,Villanova  ,40.0378952,-75.3433315
Kris Dunn,Providence  ,41.8440925,-71.4381653
Lauri Markkanen,Arizona  ,32.2318851,-110.9501094
Wendell Carter Jr.,Duke  ,36.0014258,-78.9382286
Shaquille Harrison,Tulsa  ,36.1520526,-95.9460753
Denzel Valentine,Michigan State  ,42.701848,-84.4821719
Luke Kornet,Vanderbilt  ,36.1447034,-86.8026551
Chandler Hutchison,Boise State  ,43.6028311,-116.201767
Otto Porter,Georgetown  ,38.9076089,-77.0722585
Max Strus,DePaul  ,41.9247836,-87.6566548
Collin Sexton,Alabama  ,33.2140233,-87.5391418
Darius Garland,Vanderbilt  ,36.1447034,-86.8026551
Tristan Thompson,Texas  ,30.2849185,-97.7340567
Matthew Dellavedova,St. Mary's (CA)  ,37.8413472,-122.1101354
Kevin Love,UCLA  ,34.068921,-118.4451811
Larry Nance Jr.,Wyoming  ,41.3148754,-105.5665744
Kevin Porter Jr.,USC  ,34.0223519,-118.285117
Alfonzo McKinnie,Green Bay  ,44.531177,-87.9210686
Dean Wade,Kansas State  ,39.1974437,-96.5847249
Andre Drummond,Connecticut  ,41.8077414,-72.2539805
Jordan Bell,Oregon  ,44.0448302,-123.0726055
Delon Wright,Utah  ,40.7649368,-111.8421021
Tim Hardaway Jr.,Michigan  ,42.2780436,-83.7382241
Dorian Finney-Smith,Florida  ,29.6436325,-82.3549302
Justin Jackson,North Carolina  ,35.9049122,-79.0469134
Seth Curry,Duke  ,36.0014258,-78.9382286
Jalen Brunson,Villanova  ,40.0378952,-75.3433315
Dwight Powell,Stanford  ,37.4274745,-122.169719
Courtney Lee,Western Kentucky  ,36.983537,-86.4573752
Willie Cauley-Stein,Kentucky  ,38.0306511,-84.5039697
Michael Kidd-Gilchrist,Kentucky  ,38.0306511,-84.5039697
Antonius Cleveland,S.E. Missouri  ,37.3148783,-89.5280438
Trey Burke,Michigan  ,42.2780436,-83.7382241
Josh Reaves,Penn State  ,40.7982133,-77.8599084
Monte Morris,Iowa State  ,42.0266573,-93.6464516
Jerami Grant,Syracuse  ,43.0391534,-76.1351158
Mason Plumlee,Duke  ,36.0014258,-78.9382286
Jamal Murray,Kentucky  ,38.0306511,-84.5039697
Will Barton,Memphis  ,35.1187498,-89.9374928
Torrey Craig,South Carolina Upstate  ,34.9996102,-81.9711555
Gary Harris,Michigan State  ,42.701848,-84.4821719
Michael Porter Jr.,Missouri  ,38.9403808,-92.3277375
Paul Millsap,Louisiana Tech  ,32.5282644,-92.6499298
PJ Dozier,South Carolina  ,33.9937575,-81.0299186
Keita Bates-Diop,Ohio State  ,40.0066723,-83.0304546
Noah Vonleh,Indiana  ,39.1754487,-86.512627
Troy Daniels,Va Commonwealth  ,37.5483122,-77.4526805
Langston Galloway,"	Saint Joseph's  ",39.9951217,-75.2399328
Christian Wood,UNLV  ,36.1085197,-115.1431709
Tony Snell,   ,35.2058936,-97.4457137
Bruce Brown,Miami  ,39.5087485,-84.7344915
Svi Mykhailiuk,Kansas  ,38.9543439,-95.2557961
Derrick Rose,Memphis  ,35.1187498,-89.9374928
Luke Kennard,Duke  ,36.0014258,-78.9382286
Blake Griffin,Oklahoma  ,35.2058936,-97.4457137
John Henson,North Carolina  ,35.9049122,-79.0469134
Louis King,Oregon ,44.0448302,-123.0726055
Brandon Knight,Kentucky  ,38.0306511,-84.5039697
Khyri Thomas,Creighton  ,41.2655521,-95.9463862
Jordan McRae,Tennessee  ,35.9544013,-83.9294564
Justin Patton,Creighton  ,41.2655521,-95.9463862
Eric Paschall,Villanova  ,40.0378952,-75.3433315
Marquese Chriss,Washington  ,38.6487895,-90.3107962
Jordan Poole,Michigan  ,42.2780436,-83.7382241
Damion Lee,Louisville  ,38.2122761,-85.7585023
Ky Bowman,Boston College  ,42.3355488,-71.1684945
Draymond Green,Michigan State  ,42.701848,-84.4821719
Kevon Looney,UCLA  ,34.068921,-118.4451811
Andrew Wiggins,Kansas  ,38.9543439,-95.2557961
Mychal Mulder,Kentucky  ,38.0306511,-84.5039697
Stephen Curry,Davidson  ,35.5008018,-80.8446725
Klay Thompson,Washington State  ,46.7319225,-117.1542121
P.J. Tucker,Texas  ,30.2849185,-97.7340567
Ben McLemore,Kansas  ,38.9543439,-95.2557961
James Harden,Arizona State  ,33.4532165,-112.0719833
Austin Rivers,Duke  ,36.0014258,-78.9382286
Danuel House,Texas A&M  ,30.6090918,-96.3337124
Russell Westbrook,UCLA  ,34.068921,-118.4451811
Eric Gordon,Indiana  ,39.1754487,-86.512627
Chris Clemons,Campbell  ,35.4083451,-78.7394405
Robert Covington,Tennessee State  ,36.1674308,-86.8211364
Jeff Green,Georgetown  ,38.9076089,-77.0722585
Michael Frazier,Florida  ,29.6436325,-82.3549302
DeMarre Carroll,Missouri  ,38.9403808,-92.3277375
David Nwaba,Cal Poly ,35.3050053,-120.6624942
Justin Holiday,Washington  ,38.6487895,-90.3107962
T.J. McConnell,Arizona  ,32.2318851,-110.9501094
Doug McDermott,Creighton  ,41.2655521,-95.9463862
T.J. Warren,North Carolina State  ,35.7846633,-78.6820946
Aaron Holiday,UCLA  ,34.068921,-118.4451811
Domantas Sabonis,Gonzaga  ,47.6670321,-117.4014343
Myles Turner,Texas  ,30.2849185,-97.7340567
Malcolm Brogdon,Virginia  ,38.0335529,-78.5079772
Jeremy Lamb,Connecticut  ,41.8077414,-72.2539805
JaKarr Sampson,"St. John's, N.Y.  ",40.7220627,-73.7942112
Edmond Sumner,Xavier  ,29.9641088,-90.107647
TJ Leaf,UCLA  ,34.068921,-118.4451811
Victor Oladipo,Indiana  ,39.1754487,-86.512627
Alize Johnson,Missouri State  ,37.2005546,-93.2806806
Montrezl Harrell,Louisville  ,38.2122761,-85.7585023
JaMychal Green,Alabama  ,33.2140233,-87.5391418
Patrick Patterson,Kentucky  ,38.0306511,-84.5039697
Kawhi Leonard,San Diego State  ,32.7759894,-117.0712533
Rodney McGruder,Kansas State  ,39.1974437,-96.5847249
Landry Shamet,Wichita State  ,37.7186367,-97.2941414
Patrick Beverley,Arkansas  ,36.0686895,-94.1748471
Paul George,Fresno State  ,36.8133631,-119.7460947
Terance Mann,Florida State  ,30.4418778,-84.2984889
Marcus Morris,Kansas  ,38.9543439,-95.2557961
Amir Coffey,Minnesota ,44.97399,-93.2277285
Reggie Jackson,Boston College  ,42.3355488,-71.1684945
Johnathan Motley,Baylor  ,31.5488923,-97.1130573
Mfiondu Kabengele,Florida State  ,30.4418778,-84.2984889
Joakim Noah,Florida  ,29.6436325,-82.3549302
Kentavious Caldwell-Pope,Georgia  ,33.9480053,-83.3773221
Danny Green,North Carolina  ,35.9049122,-79.0469134
JaVale McGee,Nevada-Reno  ,39.5453298,-119.8161541
Alex Caruso,Texas A&M  ,30.6090918,-96.3337124
Anthony Davis,Kentucky  ,38.0306511,-84.5039697
Kyle Kuzma,Utah  ,40.7649368,-111.8421021
Avery Bradley,Texas  ,30.2849185,-97.7340567
Rajon Rondo,Kentucky  ,38.0306511,-84.5039697
Jared Dudley,Boston College  ,42.3355488,-71.1684945
Quinn Cook,Duke  ,36.0014258,-78.9382286
Markieff Morris,Kansas  ,38.9543439,-95.2557961
Dion Waiters,Syracuse  ,43.0391534,-76.1351158
Talen Horton-Tucker,Iowa State  ,42.0266573,-93.6464516
Dillon Brooks,Oregon  ,44.0448302,-123.0726055
Tyus Jones,Duke  ,36.0014258,-78.9382286
De'Anthony Melton,USC  ,34.0223519,-118.285117
Brandon Clarke,Gonzaga  ,47.6670321,-117.4014343
Jaren Jackson Jr.,Michigan State  ,42.701848,-84.4821719
Grayson Allen,Duke  ,36.0014258,-78.9382286
Josh Jackson,Kansas  ,38.9543439,-95.2557961
John Konchar,Purdue FW ,41.1173345,-85.1077816
Yuta Watanabe,George Washington  ,38.8997145,-77.0485992
